Year,ISO,USD Rate Converted
2023,KRW,0.00076529
2022,KRW,0.00077385
2020,KRW,0.00084803
2019,KRW,0.00085786
2016,KRW,0.00086116
2010,KRW,0.00086465
2021,KRW,0.00087345
2015,KRW,0.00088314
2017,KRW,0.00088461
2012,KRW,0.00088775
2011,KRW,0.00090289
2018,KRW,0.00090868
2013,KRW,0.00091353
2014,KRW,0.00094914
2023,JPY,0.007134
2022,JPY,0.007657
2015,JPY,0.008263
2017,JPY,0.008919
2018,JPY,0.009059
2021,JPY,0.009113
2019,JPY,0.009176
2016,JPY,0.009217
2020,JPY,0.009373
2014,JPY,0.009473
2013,JPY,0.010264
2010,JPY,0.011413
2023,INR,0.012111
2012,JPY,0.012533
2011,JPY,0.012539
2022,INR,0.012738
2020,INR,0.013501
2021,INR,0.013527
2019,INR,0.014209
2018,INR,0.014649
2016,INR,0.014888
2017,INR,0.015365
2015,INR,0.015605
2014,INR,0.016397
2013,INR,0.017165
2012,INR,0.018754
2011,INR,0.021589
2010,INR,0.02191
2016,THB,0.028339
2022,THB,0.028597
2023,THB,0.028754
2015,THB,0.029245
2017,THB,0.029494
2014,THB,0.030789
2018,THB,0.030957
2021,THB,0.031304
2010,THB,0.031571
2020,THB,0.031997
2012,THB,0.032191
2019,THB,0.032239
2013,THB,0.032593
2011,THB,0.032814
2023,CNY,0.14134911
2019,CNY,0.14472216
2020,CNY,0.14492613
2010,CNY,0.14771134
2017,CNY,0.14799892
2022,CNY,0.14859208
2016,CNY,0.15053308
2018,CNY,0.15105975
2011,CNY,0.15466636
2021,CNY,0.15499844
2012,CNY,0.15846685
2015,CNY,0.15914376
2014,CNY,0.16238685
2013,CNY,0.16254105
2022,SAR,0.26632449
2018,SAR,0.26642979
2020,SAR,0.26647828
2023,SAR,0.26654619
2014,SAR,0.26659024
2015,SAR,0.26659302
2021,SAR,0.26660574
2016,SAR,0.26661811
2019,SAR,0.26661853
2013,SAR,0.26663666
2012,SAR,0.26665003
2017,SAR,0.2666528
2011,SAR,0.26667051
2010,SAR,0.26668999
2018,AED,0.272251
2019,AED,0.272252
2021,AED,0.272252
2012,AED,0.272255
2022,AED,0.272255
2013,AED,0.272256
2014,AED,0.272256
2011,AED,0.272257
2020,AED,0.272257
2016,AED,0.272258
2015,AED,0.272259
2010,AED,0.272261
2017,AED,0.272261
2023,AED,0.272268
2023,AUD,0.664352
2020,AUD,0.691143
2022,AUD,0.694662
2019,AUD,0.695358
2023,CAD,0.740708
2016,AUD,0.743664
2020,CAD,0.74652
2018,AUD,0.747466
2021,AUD,0.751259
2015,AUD,0.752124
2019,CAD,0.753598
2016,CAD,0.755107
2017,AUD,0.76683
2022,CAD,0.769193
2017,CAD,0.771282
2018,CAD,0.771588
2015,CAD,0.782992
2021,CAD,0.797833
2014,AUD,0.902813
2014,CAD,0.905912
2010,AUD,0.919691
2010,CHF,0.961215
2013,AUD,0.967915
2010,CAD,0.970701
2013,CAD,0.971164
2012,CAD,1.00023
2019,CHF,1.006549
2011,CAD,1.011464
2016,CHF,1.015257
2017,CHF,1.01619
2018,CHF,1.022406
2011,AUD,1.033853
2012,AUD,1.035937
2015,CHF,1.040833
2022,CHF,1.048015
2020,CHF,1.066462
2012,CHF,1.066891
2013,CHF,1.079397
2014,CHF,1.094111
2021,CHF,1.094205
2023,CHF,1.113583
2011,CHF,1.13241
2022,GBP,1.237188
2023,GBP,1.243779
2019,GBP,1.276933
2020,GBP,1.284145
2017,GBP,1.288611
2018,GBP,1.334801
2016,GBP,1.355673
2021,GBP,1.375083
2015,GBP,1.528504
2010,GBP,1.545893
2013,GBP,1.564768
2012,GBP,1.584877
2011,GBP,1.604123
2014,GBP,1.647701
2010,USD,1
2011,USD,1
2012,USD,1
2013,USD,1
2014,USD,1
2015,USD,1
2016,USD,1
2017,USD,1
2018,USD,1
2019,USD,1
2020,USD,1
2021,USD,1
2022,USD,1
2023,USD,1
